published,channel_title,channel_id,title,url,video_id,description,viewCount,likeCount,commentCount,duration
2025-09-14T12:00:56Z,Latent Space,UCxBcwypKK-W3GHd_RZ9FZrQ,AI Strategy From POCs to Production,https://www.youtube.com/watch?v=QehQoNE0ub8,QehQoNE0ub8,,1265,22,0,PT54S
2025-09-14T12:07:24Z,"No Priors: AI, Machine Learning, Tech, & Startups",UCSI7h9hydQ40K5MJHnCrQvw,Why AI Native Talent Wins,https://www.youtube.com/watch?v=fd-TqlOBWxY,fd-TqlOBWxY,"Andrew Ng chose a fresh grad over a veteran who wasn’t well versed with AI. And they did really well.

But on the flip side, he also notes that experienced engineers who adopt AI are absolutely unmatched.

#podcast #ai #tech",1330,24,0,PT53S
2025-09-14T14:01:06Z,Masters of Scale,UCiemDAS1bXMBTx3jIIOukFg,Lessons from a near-death experience with Omaze’s #CEO Matthew Pohlson | Masters of Scale,https://www.youtube.com/watch?v=iEfcS3EAeCM,iEfcS3EAeCM,"Matthew Pohlson, co-founder and CEO of Omaze, shares the life-changing moment that reshaped his perspective on fear, purpose, and living fully. After surviving what doctors called an “extraordinary case” with no medical explanation, Matthew reflects on how his near-death experience reframed his greatest fears — from not living up to his potential to realizing that fear itself is often an illusion.

📫 THE MASTERS OF SCALE NEWSLETTER
35,000+ read our free weekly newsletter packed with insights from the world’s most iconic business leaders. Sign up: https://hubs.la/Q01RPQH-0

🎧 LISTEN TO THE PODCAST
Apple Podcasts: https://mastersofscale.com/ApplePodcasts
Spotify: https://mastersofscale.com/Spotify

💻 LEARN MORE
Our website: https://mastersofscale.com

🚀 JOIN OUR COMMUNITY
LinkedIn: https://linkedin.com/showcase/11096326
Facebook: https://facebook.com/mastersofscale
Instagram: https://instagram.com/mastersofscale
X/Twitter: https://twitter.com/mastersofscale
TikTok: https://tiktok.com/@ma …",624,4,0,PT51S
2025-09-14T14:01:21Z,20VC with Harry Stebbings,UCf0PBRjhf0rF8fWBIxTuoWA,How Breaking Bad Saved Omaze,https://www.youtube.com/watch?v=t51F6XgCpdw,t51F6XgCpdw,"#20VC with Omaze Co-Founder & CEO Matthew Pohlson. Link in bio.
—
#HarryStebbings #Business #shorts",3550,72,1,PT1M59S
2025-09-14T16:07:42Z,All-In Podcast,UCESLZhusAkFfsNsApnjF_Cg,"Elon Musk: As human intelligence plateaus, AI will scale to harness most of the power of the galaxy",https://www.youtube.com/watch?v=FBUSJRn9kHQ,FBUSJRn9kHQ,"Thanks to our partners for making this happen!

Solana: https://solana.com/

OKX: https://www.okx.com/

Google Cloud: https://cloud.google.com/

IREN: https://iren.com/

Oracle: https://www.oracle.com/

Circle: https://www.circle.com/

BVNK: https://www.bvnk.com/

Follow the besties: 
https://x.com/chamath
https://x.com/Jason
https://x.com/DavidSacks
https://x.com/friedberg

Follow on X:
https://x.com/theallinpod

Follow on Instagram:
https://www.instagram.com/theallinpod

Follow on TikTok:
https://www.tiktok.com/@theallinpod

Follow on LinkedIn: 
https://www.linkedin.com/company/allinpod

Intro Music Credit:
https://rb.gy/tppkzl
https://x.com/yung_spielburg

Intro Video Credit:
https://x.com/TheZachEffect

#allin #tech #news",10820,300,18,PT1M14S
2025-09-14T19:00:09Z,Latent Space,UCxBcwypKK-W3GHd_RZ9FZrQ,Finding Needles in Data Haystacks,https://www.youtube.com/watch?v=CGUtyLjEHaE,CGUtyLjEHaE,,72,2,0,PT1M3S
2025-09-14T21:51:07Z,Dwarkesh Patel,UCXl4i9dYBrFOabk0xGmbkRA,How Hitler Forced Brits and Soviets to Become Allies - Sarah Paine,https://www.youtube.com/watch?v=vSbAJSjDsjo,vSbAJSjDsjo,,16748,897,17,PT47S
2025-09-11T10:00:20Z,"No Priors: AI, Machine Learning, Tech, & Startups",UCSI7h9hydQ40K5MJHnCrQvw,No Priors Ep. 131 | With Jared Kushner,https://www.youtube.com/watch?v=7MOsEtyKqXw,7MOsEtyKqXw,"From negotiating with world leaders to partnering with top entrepreneurs, businessman and investor Jared Kushner has traveled the unique path of bringing private sector knowledge to government work and back again. Jared Kushner joins Sarah Guo and Elad Gil to cover a wide range of topics, from his founding of investment firm Affinity Partners, to his time in government, to his new AI venture BrainCo. Jared discusses Affinity Partners’ mission and strategy, how he has leveraged his government experience in business and investing, and the geopolitics of technological advancements like AI. Plus, he makes a case for why private sector talent should do “tours of duty” in government.
Sign up for new podcasts every week. Email feedback to show@no-priors.com
Follow us on Twitter: @NoPriorsPod | @Saranormous | @EladGil | @jaredkushner
Chapters:
00:00 – Jared Kushner Introduction
00:30 – Starting Affinity Partners Post-Government
01:59 – Value of Global Perspective
03:34 – Ventures with Affinity …",247,6,3,PT58M25S
2025-09-15T09:00:12Z,All-In Podcast,UCESLZhusAkFfsNsApnjF_Cg,"Robinhood CEO Vlad Tenev on tokenizing stocks, expanding access to private shares, fintech's future",https://www.youtube.com/watch?v=5AQpkz-YhkQ,5AQpkz-YhkQ,"(0:00) Introducing Vlad Tenev
(0:51) Jason tells his story of investing in Robinhood
(3:17) Tokenizing securities, offering tokenized shares in OpenAI and SpaceX, controversy
(7:29) Operating under Trump vs Biden, why offering tokenized securities for private companies could be revolutionary
(17:01) Criticisms around expanding access to sophisticated financial products
(19:34) Current landscape of financial companies, Robinhood’s future, competing with incumbents
(23:28) Harmonic and building mathematical superintelligence

Thanks to our partners for making this happen!

Solana: https://solana.com/

OKX: https://www.okx.com/

Google Cloud: https://cloud.google.com/

IREN: https://iren.com/

Oracle: https://www.oracle.com/

Circle: https://www.circle.com/

BVNK: https://www.bvnk.com/

Follow Vlad:
https://x.com/vladtenev

Follow the besties: 
https://x.com/chamath
https://x.com/Jason
https://x.com/DavidSacks
https://x.com/friedberg

Follow on X:
https://x.com/theallinpod

Follow on Inst …",11632,485,53,PT26M9S
2025-09-15T10:01:06Z,a16z,UC9cn0TuPq4dnbTY-CBsm8XA,"Faster Science, Better Drugs",https://www.youtube.com/watch?v=eAODQUKqDiU,eAODQUKqDiU,"Can we make science as fast as software?

In this episode, Erik Torenberg talks with Patrick Hsu (cofounder of Arc Institute) and a16z general partner Jorge Conde about Arc’s “virtual cells” moonshot, which uses foundation models to simulate biology and guide experiments. 

They discuss why research is slow, what an AlphaFold-style moment for cell biology could look like, and how AI might improve drug discovery. The conversation also covers hype versus substance in AI for biology, clinical bottlenecks, capital intensity, and how breakthroughs like GLP-1s show the path from science to major business and health impact.

Timecodes:
00:00 Introduction to Accelerating Science
00:35 Welcome to the Podcast
00:45 The Moonshot: Virtual Cells and Human Biology
01:57 Challenges in Scientific Progress
02:58 Interdisciplinary Collaboration at Arc Institute
05:11 The Role of AI in Biology
10:18 Understanding Virtual Cells
22:13 Biotech and Pharma Industry Insights
27:39 Challenges in Clinical Trials …",302,,0,PT55M39S
